time;cpu_percent;packets_sent;packets_recv
1651498118.4913588;12.2;74191;108656
1651498119.4936442;20.1;74194;108659
1651498120.4960594;20.3;74242;108705
1651498121.497663;14.4;74259;108718
1651498122.4991217;19.4;74263;108722
1651498123.5013864;38.0;74470;108942
1651498124.5042744;38.7;74537;109030
1651498125.5059028;53.8;74649;109233
1651498126.5075889;63.0;74827;109707
1651498127.50924;33.5;74894;109780
1651498128.5100517;16.9;74907;109791
1651498129.512259;15.9;74917;109799
1651498130.5139866;33.7;74971;110012
1651498131.5154254;38.1;75016;110170
1651498132.5168765;45.8;75520;110764
1651498133.517921;52.5;75913;111456
1651498134.519676;50.4;76536;113205
1651498135.5214052;55.1;76787;114130
1651498136.5235083;50.5;76855;114342
1651498137.524891;46.2;77117;115205
1651498138.526158;56.1;77136;115224
1651498139.527771;53.0;77431;116213
1651498140.5305076;48.6;77699;116726
1651498141.5330675;30.0;78529;119758
1651498142.5341086;51.6;79259;122452
1651498143.535652;72.6;79518;123519
1651498144.5372894;66.5;79814;124556
1651498145.5380483;71.3;79992;125213
1651498146.5397377;65.7;80243;126121
1651498147.5413182;63.0;80440;126825
1651498148.5420818;73.5;80666;127569
1651498149.5435297;40.3;80828;128151
1651498150.5451577;70.1;81083;129082
1651498151.5461059;88.7;81399;129841
1651498152.547735;95.3;82471;131637
1651498153.5485432;95.8;83030;132687
1651498154.5501273;97.5;83441;133515
1651498155.5518148;94.7;84259;135145
1651498156.5535655;92.7;85151;136962
1651498157.55523;93.9;85661;137910
1651498158.5569131;82.2;86263;139320
1651498159.5587;77.4;87163;141318
1651498160.5606387;79.6;87706;142929
1651498161.562577;80.6;88298;144925
1651498162.5647936;91.7;89418;147174
1651498163.566171;97.3;90478;149265
1651498164.5679252;97.2;91463;151207
1651498165.5697105;96.2;91986;152231
1651498166.570823;96.8;92532;153322
1651498167.5724695;97.5;92888;154005
1651498168.5741448;98.7;93574;155348
1651498169.5758102;99.2;94532;157258
1651498170.5771534;96.7;95096;158383
1651498171.578145;97.2;95581;159330
1651498172.5799193;97.5;96170;160477
1651498173.5820487;96.5;97006;162144
1651498174.5841675;93.4;97483;163136
1651498175.5859294;93.5;98168;164399
1651498176.5867782;54.9;98735;165548
1651498177.587865;86.1;99390;166936
